source,target,actors_common,genres_common,similaridade,rating_media,peso,peso_bf
tt0009580,tt0009837,5,1,11,4.6,0.090909,0.090909
tt0011036,tt0012818,5,1,11,5.15,0.090909,0.090909
tt0026959,tt0027180,5,2,12,6.0,0.083333,0.083333
tt0026959,tt0028550,5,2,12,6.05,0.083333,0.083333
tt0027180,tt0028550,5,2,12,5.95,0.083333,0.083333
tt0028550,tt0028927,5,2,12,5.95,0.083333,0.083333
tt0002574,tt0004292,5,1,11,2.85,0.090909,0.090909
tt0008361,tt0008873,5,0,10,2.3,0.1,0.1
tt0008361,tt0009070,5,1,11,2.3,0.090909,0.090909
tt0008361,tt0009553,5,1,11,2.3,0.090909,0.090909
tt0008873,tt0009287,5,2,12,0.0,0.083333,0.083333
tt0008873,tt0009638,5,0,10,0.0,0.1,0.1
tt0009070,tt0009287,5,0,10,0.0,0.1,0.1
tt0009070,tt0009864,5,0,10,0.0,0.1,0.1
tt0009287,tt0010818,5,1,11,0.0,0.090909,0.090909
tt0009864,tt0010075,5,0,10,0.0,0.1,0.1
tt0001531,tt0001731,5,0,10,2.15,0.1,0.1
tt0001602,tt0006585,5,0,10,1.95,0.1,0.1
tt0001602,tt0007032,5,0,10,1.95,0.1,0.1
tt0001602,tt0007203,5,0,10,1.95,0.1,0.1
tt0001602,tt0007859,5,0,10,1.95,0.1,0.1
tt0006585,tt0007203,5,0,10,0.0,0.1,0.1
tt0007032,tt0007203,5,0,10,0.0,0.1,0.1
tt0007032,tt0009735,5,0,10,0.0,0.1,0.1
tt0005183,tt0006585,5,0,10,0.0,0.1,0.1
tt0005183,tt0007032,5,0,10,0.0,0.1,0.1
tt0005183,tt0008654,5,0,10,0.0,0.1,0.1
tt0006559,tt0006585,5,1,11,0.0,0.090909,0.090909
tt0006559,tt0007032,5,0,10,0.0,0.1,0.1
tt0006559,tt0008654,5,0,10,0.0,0.1,0.1
tt0005183,tt0007203,5,0,10,0.0,0.1,0.1
tt0006420,tt0006559,5,1,11,0.0,0.090909,0.090909
tt0006420,tt0006585,5,1,11,0.0,0.090909,0.090909
tt0006420,tt0007032,5,0,10,0.0,0.1,0.1
tt0006420,tt0007203,5,0,10,0.0,0.1,0.1
tt0006420,tt0008654,5,0,10,0.0,0.1,0.1
tt0006420,tt0009547,5,0,10,3.4,0.1,0.1
tt0006420,tt0009735,5,0,10,0.0,0.1,0.1
tt0006559,tt0007859,5,1,11,0.0,0.090909,0.090909
tt0006559,tt0009547,5,0,10,3.4,0.1,0.1
tt0006559,tt0009735,5,0,10,0.0,0.1,0.1
tt0007032,tt0009547,5,0,10,3.4,0.1,0.1
tt0008654,tt0009547,5,0,10,3.4,0.1,0.1
tt0016671,tt0017312,5,1,11,0.0,0.090909,0.090909
tt0013082,tt0013260,5,2,12,0.0,0.083333,0.083333
tt0004854,tt0005297,5,1,11,3.1,0.090909,0.090909
tt0015886,tt0016492,5,0,10,0.0,0.1,0.1
tt0028220,tt0028451,5,0,10,5.65,0.1,0.1
tt0014328,tt0014459,5,1,11,0.0,0.090909,0.090909
tt0009233,tt0010558,5,2,12,5.25,0.083333,0.083333
tt0020776,tt0020777,5,1,11,2.1,0.090909,0.090909
tt0003576,tt0004335,5,1,11,0.0,0.090909,0.090909
tt0004003,tt0004639,5,1,11,3.3,0.090909,0.090909
tt0004639,tt0005602,5,0,10,0.0,0.1,0.1
tt0005602,tt0006756,5,0,10,0.0,0.1,0.1
tt0005797,tt0006756,5,0,10,0.0,0.1,0.1
tt0006277,tt0006889,5,1,11,0.0,0.090909,0.090909
tt0006277,tt0008491,5,0,10,2.55,0.1,0.1
tt0006889,tt0007052,5,1,11,0.0,0.090909,0.090909
tt0006889,tt0008216,5,0,10,0.0,0.1,0.1
