tconst,titulo,ano,generos,nota,diretores
tt0003731,Burning Daylight: The Adventures of 'Burning Daylight' in Alaska,1914,"Adventure,Drama",4.8,nm0098376
tt0003732,Burning Daylight: The Adventures of 'Burning Daylight' in Civilization,1914,Drama,,nm0098376
tt0003735,Bánk bán,1915,,5.3,nm0002031
tt0003736,C.O.D.,1914,Comedy,,nm0426310
tt0003738,El caballero Casarroja,1914,,,nm0865601
tt0003740,Cabiria,1914,"Adventure,Drama,History",7.1,nm0665163
tt0003743,The Call of the North,1914,"Adventure,Drama",5.1,nm0001124|nm0002177
tt0003744,Called Back,1914,Drama,,nm0877783
tt0003746,El calvario de un héroe,1914,,,nm0345217
tt0003747,Cameo Kirby,1914,"Action,Drama,Romance",,
tt0003748,Captain Alvarez,1914,Drama,8.0,nm0836316
tt0003752,Captain Swift,1914,Drama,5.4,nm0507150
tt0003756,Cardinal Richelieu's Ward,1914,Drama,,nm0601190
tt0003761,A Celebrated Case,1914,Drama,,nm0577654
tt0003763,Charlotte Corday,1914,"Drama,History",,
tt0003765,The Chechako,1914,Drama,,nm0098376
tt0003768,The Chimes,1914,"Drama,Fantasy",3.7,nm0085133
tt0003771,The Christian,1914,Drama,7.0,nm0861002
tt0003772,Cinderella,1914,"Drama,Fantasy",6.0,nm0456804
tt0003774,The Circus Man,1914,Drama,5.4,nm0002177
tt0003779,"Cocaine Traffic; or, the Drug Terror",1914,Drama,,nm0616729
tt0003790,The Coming Power,1914,Drama,,nm0533158
tt0003792,The Conspiracy,1914,"Crime,Drama,Mystery",,nm0245385
tt0003798,The Country Mouse,1914,Comedy,,nm0098376
tt0003799,The County Chairman,1914,"Comedy,Drama",5.0,
tt0003802,The Criminal Code,1914,Drama,,
tt0003804,The Crucible,1914,"Drama,Romance",6.2,nm0285684|nm0692105
tt0003807,El cuervo del campamento,1914,,,nm0005717|nm0865601
tt0003815,Damaged Goods,1914,Drama,6.0,nm0725529
tt0003816,Damon and Pythias,1914,Drama,6.4,nm0877783
